iter	RMSE
0	14.17310683
1	13.28240619
2	12.60488407
3	11.91665291
4	11.27092657
5	10.78443789
6	10.20531253
7	9.743931476
8	9.259855765
9	8.967597746
10	8.640795672
11	8.334049182
12	8.061925049
13	7.835464536
14	7.625549978
15	7.440105014
16	7.222216685
17	7.054854836
18	6.901149553
19	6.754326046
20	6.644433767
21	6.553049047
22	6.468389231
23	6.381168323
24	6.287027135
25	6.192900524
26	6.109534735
27	6.038153262
28	5.985150859
29	5.922471112
30	5.879454742
31	5.842252478
32	5.80182112
33	5.760199323
34	5.72728368
35	5.698989738
36	5.670514289
37	5.638469371
38	5.62256276
39	5.599231189
40	5.578173984
41	5.554412377
42	5.53570604
43	5.512357011
44	5.493378859
45	5.473334625
46	5.451930691
47	5.437692262
48	5.425964817
49	5.412462404
50	5.395591629
51	5.390233685
52	5.376251384
53	5.36471932
54	5.350628071
55	5.342832742
56	5.337239207
57	5.32207017
58	5.308641875
59	5.300518705
60	5.291728381
61	5.276965842
62	5.264221967
63	5.252071767
64	5.239438578
65	5.232530341
66	5.219607317
67	5.211819012
68	5.205180435
69	5.204315467
70	5.199528961
71	5.19263964
72	5.189581282
73	5.180377586
74	5.172330844
75	5.15651679
76	5.1503469
77	5.145612778
78	5.138740173
79	5.134191137
80	5.125336094
81	5.120051343
82	5.114080057
83	5.10337737
84	5.097768916
85	5.09308593
86	5.088210334
87	5.082384686
88	5.074325489
89	5.06917087
90	5.06323426
91	5.058370274
92	5.057937981
93	5.052311155
94	5.049056031
95	5.037258014
96	5.03203217
97	5.018048941
98	5.013624225
99	5.008636665
100	5.003585993
101	5.003005207
102	4.998886849
103	4.99450202
104	4.987820643
105	4.984739586
106	4.981804697
107	4.981288914
108	4.978186574
109	4.967625033
110	4.956265451
111	4.951578499
112	4.942381435
113	4.938918782
114	4.931482346
115	4.92606844
116	4.916412907
117	4.908571163
118	4.902958549
119	4.897192424
120	4.890863091
121	4.884541769
122	4.880692318
123	4.874905756
124	4.865019252
125	4.860679525
126	4.85743514
127	4.856732541
128	4.852113329
129	4.848165953
130	4.843571583
131	4.839526339
132	4.833106655
133	4.820184543
134	4.809510431
135	4.805998087
136	4.798736071
137	4.794455092
138	4.790975652
139	4.782393596
140	4.776931167
141	4.774357646
142	4.768361127
143	4.767776772
144	4.759004841
145	4.756706068
146	4.74990655
147	4.747582626
148	4.740023083
149	4.733858747
150	4.727631942
151	4.716973235
152	4.709800368
153	4.700664752
154	4.690072007
155	4.685239795
156	4.678213586
157	4.669276099
158	4.668577527
159	4.663900368
160	4.654189851
161	4.651402697
162	4.648018049
163	4.647584322
164	4.643757951
165	4.639819101
166	4.636361724
167	4.633127205
168	4.6273391
169	4.622427808
170	4.619759141
171	4.617659192
172	4.609258302
173	4.604065488
174	4.59847434
175	4.597857679
176	4.594502197
177	4.587435504
178	4.579130018
179	4.572011462
180	4.569028119
181	4.56487603
182	4.55806884
183	4.554485183
184	4.551465476
185	4.545503451
186	4.537131065
187	4.532154664
188	4.526211612
189	4.520530506
190	4.516704286
191	4.514655353
192	4.511771725
193	4.509724409
194	4.501174654
195	4.493711625
196	4.486223878
197	4.483091924
198	4.475583168
199	4.46977611
