iter	Passed	Remaining
0	0	465
1	0	445
2	1	429
3	1	416
4	2	408
5	2	401
6	2	393
7	3	387
8	3	382
9	3	378
10	4	375
11	4	372
12	4	369
13	5	367
14	5	366
15	5	367
16	6	367
17	6	369
18	7	370
19	7	370
20	7	371
21	8	370
22	8	368
23	9	367
24	9	367
25	9	366
26	10	365
27	10	364
28	10	363
29	11	362
30	11	361
31	11	360
32	12	360
33	12	359
34	13	358
35	13	358
36	13	357
37	14	358
38	14	358
39	14	358
40	15	358
41	15	357
42	16	357
43	16	356
44	16	356
45	17	356
46	17	356
47	18	357
48	18	360
49	19	362
50	19	363
51	19	363
52	20	364
53	20	365
54	21	368
55	21	368
56	22	368
57	22	368
58	23	367
59	23	367
60	23	367
61	24	367
62	24	367
63	25	367
64	25	368
65	25	367
66	26	368
67	26	367
68	27	368
69	27	369
70	28	369
71	28	368
72	29	368
73	29	367
74	29	367
75	30	367
76	30	366
77	30	366
78	31	366
79	31	366
80	32	366
81	32	366
82	33	366
83	33	366
84	34	366
85	34	367
86	34	367
87	35	367
88	35	367
89	36	366
90	36	366
91	37	366
92	37	366
93	37	365
94	38	365
95	38	365
96	39	365
97	39	364
98	40	364
99	40	364
100	40	364
101	41	364
102	41	363
103	42	363
104	42	362
105	42	362
106	43	362
107	43	361
108	44	365
109	45	365
110	45	365
111	46	365
112	46	365
113	47	365
114	47	365
115	48	365
116	48	365
117	48	365
118	49	365
119	49	365
120	50	365
121	50	364
122	51	364
123	51	364
124	51	363
125	52	363
126	52	363
127	53	363
128	53	362
129	54	362
130	54	362
131	55	362
132	55	362
133	56	361
134	56	361
135	56	360
136	57	360
137	57	359
138	57	358
139	58	358
140	58	357
141	59	357
142	59	356
143	59	356
144	60	355
145	60	355
146	61	355
147	61	355
148	62	355
149	62	354
150	62	353
151	63	353
152	63	352
153	64	352
154	64	351
155	64	351
156	65	350
157	65	350
158	66	349
159	66	349
160	66	348
161	67	347
162	67	348
163	68	348
164	68	347
165	69	347
166	69	347
167	70	346
168	70	346
169	70	345
170	71	345
171	71	345
172	72	344
173	72	344
174	73	344
175	73	343
176	73	343
177	74	343
178	74	343
179	75	343
180	75	342
181	76	342
182	76	341
183	76	341
184	77	340
185	77	340
186	78	339
187	78	339
188	78	338
189	79	338
190	79	337
191	80	337
192	80	336
193	80	336
194	81	336
195	81	335
196	82	335
197	82	335
198	83	334
199	83	334
200	84	334
201	84	334
202	84	333
203	85	333
204	85	333
205	86	332
206	86	332
207	87	331
208	87	331
209	88	331
210	88	331
211	89	331
212	89	330
213	89	330
214	90	330
215	90	329
216	91	329
217	91	328
218	91	328
219	92	327
220	92	326
221	93	326
222	93	326
223	94	326
224	94	325
225	95	325
226	95	325
227	95	324
228	96	323
229	96	323
230	97	322
231	97	322
232	97	322
233	98	321
234	98	321
235	99	320
236	99	320
237	99	319
238	100	319
239	100	319
240	101	319
241	101	318
242	102	318
243	102	318
244	103	317
245	103	317
246	103	316
247	104	316
248	104	316
249	105	315
250	105	315
251	106	315
252	106	314
253	107	314
254	107	314
255	108	314
256	108	314
257	109	313
258	109	313
259	110	313
260	110	312
261	110	312
262	111	311
263	111	311
264	112	310
265	112	310
266	112	309
267	113	309
268	113	309
269	114	308
270	114	308
271	115	308
272	115	307
273	116	307
274	116	307
275	116	306
276	117	306
277	117	305
278	118	305
279	118	304
280	118	304
281	119	304
282	119	303
283	120	303
284	120	302
285	121	302
286	121	302
287	122	301
288	122	301
289	122	300
290	123	300
291	123	299
292	124	299
293	124	299
294	124	298
295	125	297
296	125	297
297	126	297
298	126	296
299	126	296
300	127	295
301	127	295
302	128	295
303	128	294
304	129	294
305	129	294
306	130	293
307	130	293
308	130	292
309	131	292
310	131	292
311	132	291
312	132	291
313	133	290
314	133	290
315	134	290
316	134	289
317	134	289
318	135	289
319	135	288
320	136	288
321	136	288
322	137	287
323	137	287
324	138	286
325	138	286
326	138	285
327	139	285
328	139	284
329	140	284
330	140	283
331	140	283
332	141	283
333	141	282
334	142	282
335	142	282
336	143	281
337	143	280
338	143	280
339	144	279
340	144	279
341	145	279
342	145	278
343	146	278
344	146	278
345	146	277
346	147	277
347	147	276
348	148	276
349	148	276
350	149	275
351	149	275
352	149	274
353	150	274
354	150	273
355	151	273
356	151	273
357	152	272
358	152	272
359	152	271
360	153	271
361	153	270
362	154	270
363	154	270
364	155	269
365	155	269
366	156	269
367	156	268
368	157	268
369	157	268
370	157	267
371	158	267
372	158	266
373	159	266
374	159	266
375	160	265
376	160	265
377	160	264
378	161	264
379	161	264
380	162	263
381	162	263
382	163	263
383	163	262
384	164	262
385	164	261
386	164	261
387	165	260
388	165	260
389	166	259
390	166	259
391	166	258
392	167	258
393	167	257
394	168	257
395	168	257
396	169	256
397	169	256
398	169	255
399	170	255
400	170	255
401	171	254
402	171	254
403	172	253
404	172	253
405	172	253
406	173	252
407	173	252
408	174	251
409	174	251
410	175	251
411	175	250
412	175	250
413	176	249
414	176	249
415	177	248
416	177	248
417	177	247
418	178	247
419	178	246
420	179	246
421	179	245
422	179	245
423	180	244
424	180	244
425	181	244
426	181	243
427	182	243
428	182	243
429	183	242
430	183	242
431	184	242
432	184	241
433	184	241
434	185	240
435	185	240
436	186	239
437	186	239
438	187	238
439	187	238
440	188	238
441	188	238
442	188	237
443	189	237
444	189	236
445	190	236
446	190	235
447	191	235
448	191	234
449	191	234
450	192	233
451	192	233
452	193	233
453	193	232
454	193	232
455	194	231
456	194	231
457	195	231
458	195	230
459	196	230
460	196	230
461	197	229
462	197	229
463	197	228
464	198	228
465	198	227
466	199	227
467	199	226
468	199	226
469	200	225
470	200	225
471	201	225
472	201	224
473	201	224
474	202	223
475	202	223
476	203	222
477	203	222
478	203	221
479	204	221
480	204	220
481	205	220
482	205	219
483	205	219
484	206	219
485	206	218
486	207	218
487	207	217
488	208	217
489	208	217
490	208	216
491	209	216
492	209	215
493	210	215
494	210	214
495	210	214
496	211	213
497	211	213
498	212	212
499	212	212
500	212	212
501	213	211
502	213	211
503	214	210
504	214	210
505	215	209
506	215	209
507	216	209
508	216	208
509	216	208
510	217	207
511	217	207
512	217	206
513	218	206
514	218	205
515	219	205
516	219	205
517	219	204
518	220	204
519	220	203
520	221	203
521	221	202
522	222	202
523	222	202
524	223	201
525	223	201
526	224	201
527	224	200
528	225	200
529	225	200
530	225	199
531	226	199
532	226	198
533	227	198
534	227	198
535	228	197
536	228	197
537	229	196
538	229	196
539	229	195
540	230	195
541	230	194
542	230	194
543	231	193
544	231	193
545	232	192
546	232	192
547	232	192
548	233	191
549	233	191
