iter	RMSE
0	14.08049829
1	13.26312084
2	12.43688549
3	11.69712734
4	11.05344561
5	10.48634033
6	9.95732588
7	9.524718584
8	9.101919017
9	8.725796134
10	8.381922226
11	8.08874663
12	7.827503923
13	7.567398264
14	7.357974066
15	7.157649914
16	7.005113636
17	6.882732865
18	6.749450343
19	6.649463097
20	6.523588145
21	6.40610862
22	6.318566238
23	6.240570413
24	6.146651631
25	6.085137434
26	6.040077043
27	5.978379166
28	5.933956958
29	5.889255557
30	5.844399673
31	5.816609364
32	5.78575438
33	5.746557982
34	5.700337178
35	5.673011626
36	5.636483866
37	5.601296234
38	5.5704732
39	5.550418308
40	5.541647221
41	5.517979855
42	5.496886431
43	5.485055638
44	5.468935964
45	5.455375528
46	5.431713356
47	5.417222947
48	5.402464413
49	5.39581594
50	5.382083937
51	5.370049576
52	5.359876257
53	5.351512104
54	5.339222724
55	5.333347736
56	5.326517189
57	5.315542406
58	5.306787931
59	5.293907309
60	5.28473468
61	5.276536407
62	5.271377384
63	5.262277294
64	5.253667878
65	5.250396539
66	5.24355505
67	5.235904014
68	5.230681587
69	5.219726326
70	5.216005438
71	5.209552345
72	5.196029769
73	5.186883756
74	5.183800963
75	5.168722843
76	5.163269976
77	5.158865301
78	5.147070648
79	5.13560622
80	5.129126566
81	5.124859675
82	5.121979714
83	5.11893201
84	5.116565446
85	5.107440703
86	5.104480192
87	5.09673238
88	5.093156628
89	5.088246862
90	5.083099339
91	5.075305697
92	5.071779981
93	5.066390367
94	5.060973834
95	5.048243912
96	5.042845813
97	5.040088517
98	5.037182434
99	5.034887259
100	5.030393126
101	5.027934178
102	5.019598923
103	5.014176969
104	5.003908361
105	4.995835838
106	4.993221489
107	4.985653157
108	4.978461156
109	4.973117347
110	4.969357099
111	4.962648054
112	4.959245003
113	4.946893344
114	4.94402648
115	4.940988457
116	4.936859156
117	4.930687781
118	4.925834756
119	4.917123625
120	4.915084784
121	4.913590444
122	4.906995672
123	4.90443308
124	4.900509778
125	4.891110118
126	4.886460156
127	4.882926224
128	4.87449948
129	4.865913142
130	4.85608348
131	4.85505027
132	4.854589757
133	4.848379406
134	4.843812844
135	4.839821057
136	4.835498887
137	4.827470888
138	4.821538303
139	4.816651503
140	4.807378351
141	4.800966436
142	4.796794854
143	4.790775758
144	4.789708472
145	4.785227151
146	4.781303765
147	4.77406046
148	4.769164177
149	4.758196633
150	4.750862367
151	4.749808082
152	4.741946986
153	4.736905556
154	4.731679679
155	4.730897799
156	4.720736381
157	4.719978196
158	4.713683975
159	4.703801425
160	4.69789838
161	4.692294703
162	4.687970656
163	4.684479169
164	4.677678051
165	4.673696359
166	4.668220359
167	4.665489849
168	4.661517901
169	4.654096984
170	4.646619936
171	4.637809896
172	4.633310599
173	4.629839793
174	4.627217333
175	4.626323011
176	4.624169273
177	4.620077265
178	4.616435157
179	4.615436314
180	4.611158139
181	4.607345863
182	4.599565923
183	4.59364274
184	4.587007849
185	4.585050666
186	4.581124939
187	4.578102976
188	4.573828163
189	4.56692681
190	4.564486684
191	4.562442646
192	4.557352752
193	4.551523411
194	4.545092882
195	4.543716472
196	4.536682095
197	4.532409673
198	4.531613711
199	4.528782223
