iter	Passed	Remaining
0	0	941
1	1	806
2	2	751
3	2	711
4	3	701
5	4	693
6	4	684
7	5	679
8	6	674
9	6	667
10	7	655
11	7	651
12	8	649
13	9	646
14	9	647
15	10	641
16	11	639
17	11	640
18	12	640
19	13	641
20	13	641
21	14	642
22	15	638
23	15	638
24	16	636
25	16	634
26	17	632
27	18	628
28	18	627
29	19	624
30	19	622
31	20	622
32	21	620
33	21	618
34	22	616
35	22	614
36	23	613
37	24	611
38	24	607
39	25	605
40	25	604
41	26	600
42	26	599
43	27	597
44	28	596
45	28	600
46	29	600
47	30	601
48	30	600
49	31	600
50	32	601
51	32	599
52	33	599
53	34	596
54	34	595
55	35	593
56	35	595
57	36	595
58	37	595
59	38	596
60	38	598
61	39	599
62	40	598
63	40	597
64	41	596
65	42	595
66	42	595
67	43	597
68	44	596
69	44	595
70	45	593
71	46	593
72	46	591
73	47	591
74	47	590
75	48	590
76	49	589
77	49	588
78	50	586
79	51	586
80	51	586
81	52	585
82	52	583
83	53	582
84	53	580
85	54	579
86	55	577
87	55	576
88	56	576
89	56	575
90	57	575
91	58	575
92	58	575
93	59	572
94	60	571
95	60	570
96	61	570
97	61	570
98	62	569
99	63	569
100	63	568
101	64	567
102	65	566
103	65	566
104	66	565
105	67	565
106	67	565
107	68	564
108	68	562
109	69	563
110	70	563
111	71	563
112	71	561
113	72	561
114	72	560
115	73	560
116	74	560
117	74	559
118	75	558
119	76	558
120	76	556
121	77	555
122	77	554
123	78	554
124	78	551
125	79	550
126	79	549
127	80	549
128	81	548
129	81	547
130	82	546
131	82	544
132	83	543
133	84	543
134	84	542
135	85	542
136	86	542
137	86	541
138	87	540
139	87	539
140	88	539
141	89	539
142	89	539
143	90	538
144	91	538
145	91	537
146	92	537
147	93	536
148	93	536
149	94	535
150	94	533
151	95	533
152	96	531
153	96	531
154	97	531
155	98	530
156	98	529
157	99	529
158	99	528
159	100	527
160	101	526
161	101	525
162	102	524
163	102	523
164	103	522
165	103	521
166	104	521
167	105	521
168	105	520
169	106	519
170	106	518
171	107	518
172	108	517
173	108	516
174	109	515
175	109	514
176	110	513
177	111	512
178	111	512
179	112	511
180	112	510
181	113	509
182	114	509
183	114	508
184	115	507
185	115	506
186	116	505
187	116	504
188	117	504
189	118	503
190	118	503
191	119	502
192	119	501
193	120	501
194	121	500
195	121	499
196	122	498
197	122	498
198	123	497
199	124	496
200	124	495
201	125	494
202	125	494
203	126	493
204	127	493
205	127	492
206	128	492
207	129	491
208	129	490
209	130	489
210	130	489
211	131	488
212	131	487
213	132	486
214	133	486
215	133	485
216	134	485
217	135	484
218	135	483
219	136	483
220	136	482
221	137	482
222	138	481
223	138	480
224	139	479
225	139	479
226	140	478
227	141	478
228	141	477
229	142	477
230	143	476
231	143	475
232	144	475
233	144	474
234	145	473
235	146	472
236	146	472
237	147	471
238	147	470
239	148	470
240	149	469
241	149	469
242	150	468
243	151	468
244	151	467
245	152	466
246	152	466
247	153	465
248	154	464
249	154	463
250	155	463
251	155	462
252	156	462
253	157	461
254	157	461
255	158	460
256	158	459
257	159	458
258	160	457
259	160	457
260	161	456
261	161	455
262	162	454
263	162	454
264	163	453
265	164	453
266	164	452
267	165	451
268	165	450
269	166	450
270	167	449
271	167	448
272	168	448
273	168	447
274	169	446
275	170	446
276	170	445
277	171	445
278	172	444
279	172	444
280	173	443
281	173	442
282	174	441
283	175	441
284	175	440
285	176	439
286	176	439
287	177	438
288	177	437
289	178	437
290	179	436
291	180	436
292	180	435
293	181	434
294	181	434
295	182	433
296	182	432
297	183	432
298	184	431
299	184	430
300	185	430
301	185	429
302	186	429
303	187	428
304	187	427
305	188	427
306	188	426
307	189	425
308	190	425
309	190	424
310	191	423
311	191	423
312	192	422
313	192	421
314	193	421
315	194	420
316	195	420
317	195	419
318	196	419
319	196	418
320	197	417
321	198	416
322	198	416
323	199	415
324	199	414
325	200	414
326	200	413
327	201	413
328	202	412
329	202	411
330	203	411
331	204	410
332	204	409
333	205	409
334	205	408
335	206	407
336	206	406
337	207	406
338	208	405
339	208	405
340	209	404
341	209	403
342	210	403
343	211	402
344	211	401
345	212	401
346	213	400
347	213	400
348	214	399
349	214	398
350	215	398
351	215	397
352	216	396
353	217	396
354	217	395
355	218	395
356	218	394
357	219	393
358	220	393
359	220	392
360	221	391
361	222	391
362	222	390
363	223	390
364	223	389
365	224	388
366	225	388
367	225	387
368	226	387
369	227	386
370	227	385
371	228	385
372	228	384
373	229	383
374	229	383
375	230	382
376	231	381
377	231	381
378	232	381
379	233	380
380	233	379
381	234	379
382	234	378
383	235	377
384	236	377
385	236	376
386	237	375
387	237	375
388	238	374
389	239	374
390	240	374
391	240	373
392	241	373
393	242	372
394	242	371
395	243	371
396	243	370
397	244	369
398	245	369
399	245	368
400	246	367
401	246	367
402	247	366
403	248	366
404	248	365
405	249	364
406	249	364
